function_id,function,dims,pop_size,epochs,run,seed,best_fitness,runtime_sec
1,F1: Powell Sum,10,100,500,1,10,1.1425152302721231e-09,1.8406041999987792
1,F1: Powell Sum,20,150,1000,1,10,6.902371835250469e-13,5.4514766999927815
1,F1: Powell Sum,50,200,1500,1,10,11.955135895160412,11.58133230000385
2,F2: Cigar,10,100,500,1,10,5.608770251475541,1.7676362999773119
2,F2: Cigar,20,150,1000,1,10,8.398418164711893,5.765453200001502
2,F2: Cigar,50,200,1500,1,10,0.43164871853343767,12.81842530000722
3,F3: Discus,10,100,500,1,10,5.193905046349897e-13,1.9509021999838296
3,F3: Discus,20,150,1000,1,10,7.362194135512249e-27,6.067217700008769
3,F3: Discus,50,200,1500,1,10,4.279499067782537e-26,13.108053900010418
4,F4: Rosenbrock,10,100,500,1,10,4.423266887588317,2.1248976000060793
4,F4: Rosenbrock,20,150,1000,1,10,62.9729005083196,6.129049800016219
4,F4: Rosenbrock,50,200,1500,1,10,891.7827466835105,14.679322799987858
5,F5: Ackley,10,100,500,1,10,4.1694510066747625e-09,2.6379093999858014
5,F5: Ackley,20,150,1000,1,10,2.372319629628805e-08,7.185434699989855
5,F5: Ackley,50,200,1500,1,10,3.241851231905457e-14,14.89429980001296
6,F6: Weierstrass,10,100,500,1,10,0.12373498725690268,5.881906399998115
6,F6: Weierstrass,20,150,1000,1,10,0.07526450250779959,34.069456099998206
6,F6: Weierstrass,50,200,1500,1,10,0.06615768591233007,165.36483320000116
7,F7: Griewank,10,100,500,1,10,0.09455791364323574,2.6722875999985263
7,F7: Griewank,20,150,1000,1,10,0.02649674345235986,6.914753199991537
7,F7: Griewank,50,200,1500,1,10,2.2522873899255558e-08,16.677725799992913
8,F8: Rastrigin,10,100,500,1,10,0.0,2.3804361000075005
8,F8: Rastrigin,20,150,1000,1,10,1.3500311979441904e-12,6.824268000025768
8,F8: Rastrigin,50,200,1500,1,10,1.1667918187185933e-08,15.835933700000169
9,F9: Modified Schwefel,10,100,500,1,10,0.00012751005033351248,2.938845800003037
9,F9: Modified Schwefel,20,150,1000,1,10,0.00025455133436480537,9.259108600002946
9,F9: Modified Schwefel,50,200,1500,1,10,0.0006363783104461618,19.496470599988243
10,F10: Katsuura,10,100,500,1,10,nan,9.71014730000752
10,F10: Katsuura,20,150,1000,1,10,nan,55.646588500007056
10,F10: Katsuura,50,200,1500,1,10,nan,254.71427599998424
11,F11: HappyCat,10,100,500,1,10,0.24813061874640918,2.559462600009283
11,F11: HappyCat,20,150,1000,1,10,0.23480907097684928,7.460481000016443
11,F11: HappyCat,50,200,1500,1,10,0.6489002720084017,14.867689799983054
12,F12: HGBat,10,100,500,1,10,0.3257811964041587,2.5159685000253376
12,F12: HGBat,20,150,1000,1,10,0.35445398311359966,6.502976199990371
12,F12: HGBat,50,200,1500,1,10,0.42986661643917234,15.945515800005523
13,F13: Expanded Griewank plus Rosenbrock,10,100,500,1,10,1.5516695863412933,2.7139997000049334
